tweet_id,text,true_intent
T1000,@AppleSupport when is the new update coming out?,Other
T1001,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1002,@AppleSupport my iPhone is not turning on.,Account Issue / Technical Support
T1003,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1004,@AppleSupport my iPhone is not turning on.,Account Issue / Technical Support
T1005,@AppleSupport when is the new update coming out?,Other
T1006,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1007,@AppleSupport my iPhone is crashing.,Account Issue / Technical Support
T1008,@AppleSupport when is the new update coming out?,Other
T1009,@AppleSupport when is the new update coming out?,Other
T1010,@AppleSupport my MacBook is crashing.,Account Issue / Technical Support
T1011,@AppleSupport when is the new update coming out?,Other
T1012,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1013,@AppleSupport my MacBook is crashing.,Account Issue / Technical Support
T1014,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1015,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1016,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1017,@AppleSupport when is the new update coming out?,Other
T1018,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1019,@AppleSupport when is the new update coming out?,Other
T1020,@AppleSupport when is the new update coming out?,Other
T1021,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1022,@AppleSupport my MacBook is crashing.,Account Issue / Technical Support
T1023,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1024,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1025,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1026,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1027,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1028,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1029,@AppleSupport my iPhone is crashing.,Account Issue / Technical Support
T1030,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1031,@AppleSupport my MacBook is crashing.,Account Issue / Technical Support
T1032,@AppleSupport my iPhone is not turning on.,Account Issue / Technical Support
T1033,@AppleSupport when is the new update coming out?,Other
T1034,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1035,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1036,@AppleSupport when is the new update coming out?,Other
T1037,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1038,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1039,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1040,@AppleSupport my MacBook is not turning on.,Account Issue / Technical Support
T1041,@AppleSupport my MacBook is crashing.,Account Issue / Technical Support
T1042,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1043,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1044,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1045,@AppleSupport my iPhone is not turning on.,Account Issue / Technical Support
T1046,@AppleSupport when is the new update coming out?,Other
T1047,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1048,@AppleSupport when is the new update coming out?,Other
T1049,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1050,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1051,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1052,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1053,@AppleSupport when is the new update coming out?,Other
T1054,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1055,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1056,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1057,@AppleSupport my iPhone is not turning on.,Account Issue / Technical Support
T1058,@AppleSupport my iPhone is crashing.,Account Issue / Technical Support
T1059,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1060,@AppleSupport my MacBook is not turning on.,Account Issue / Technical Support
T1061,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1062,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1063,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1064,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1065,@AppleSupport my iPhone is not turning on.,Account Issue / Technical Support
T1066,@AppleSupport my iPhone is not turning on.,Account Issue / Technical Support
T1067,@AppleSupport my iPhone is not turning on.,Account Issue / Technical Support
T1068,@AppleSupport my iPhone is not turning on.,Account Issue / Technical Support
T1069,@AppleSupport when is the new update coming out?,Other
T1070,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1071,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1072,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1073,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1074,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1075,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1076,@AppleSupport my iPhone is crashing.,Account Issue / Technical Support
T1077,@AppleSupport my MacBook is crashing.,Account Issue / Technical Support
T1078,@AppleSupport when is the new update coming out?,Other
T1079,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1080,@AppleSupport my MacBook is crashing.,Account Issue / Technical Support
T1081,@AppleSupport when is the new update coming out?,Other
T1082,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1083,@AppleSupport my iPhone is crashing.,Account Issue / Technical Support
T1084,@AppleSupport when is the new update coming out?,Other
T1085,@AppleSupport my iPhone is not turning on.,Account Issue / Technical Support
T1086,@AppleSupport my iPhone is not turning on.,Account Issue / Technical Support
T1087,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1088,@AppleSupport when is the new update coming out?,Other
T1089,@AppleSupport when is the new update coming out?,Other
T1090,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1091,@AppleSupport my MacBook is crashing.,Account Issue / Technical Support
T1092,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1093,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1094,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1095,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1096,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1097,@AppleSupport when is the new update coming out?,Other
T1098,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1099,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1100,@AppleSupport my MacBook is not turning on.,Account Issue / Technical Support
T1101,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1102,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1103,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1104,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1105,@AppleSupport when is the new update coming out?,Other
T1106,@AppleSupport when is the new update coming out?,Other
T1107,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1108,@AppleSupport my MacBook is crashing.,Account Issue / Technical Support
T1109,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1110,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1111,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1112,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1113,@AppleSupport when is the new update coming out?,Other
T1114,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1115,@AppleSupport when is the new update coming out?,Other
T1116,@AppleSupport my MacBook is not turning on.,Account Issue / Technical Support
T1117,@AppleSupport when is the new update coming out?,Other
T1118,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1119,@AppleSupport my iPhone is not turning on.,Account Issue / Technical Support
T1120,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1121,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1122,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1123,@AppleSupport my MacBook is not turning on.,Account Issue / Technical Support
T1124,@AppleSupport when is the new update coming out?,Other
T1125,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1126,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1127,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1128,@AppleSupport my MacBook is crashing.,Account Issue / Technical Support
T1129,@AppleSupport when is the new update coming out?,Other
T1130,@AppleSupport my MacBook is not turning on.,Account Issue / Technical Support
T1131,@AppleSupport when is the new update coming out?,Other
T1132,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1133,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1134,@AppleSupport my MacBook is crashing.,Account Issue / Technical Support
T1135,@AppleSupport my iPhone is crashing.,Account Issue / Technical Support
T1136,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1137,@AppleSupport my iPhone is crashing.,Account Issue / Technical Support
T1138,@AppleSupport my MacBook is not turning on.,Account Issue / Technical Support
T1139,@AppleSupport when is the new update coming out?,Other
T1140,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1141,@AppleSupport my iPhone is crashing.,Account Issue / Technical Support
T1142,@AppleSupport my iPhone is crashing.,Account Issue / Technical Support
T1143,@AppleSupport my MacBook is not turning on.,Account Issue / Technical Support
T1144,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1145,@AppleSupport when is the new update coming out?,Other
T1146,@AppleSupport my MacBook is not turning on.,Account Issue / Technical Support
T1147,@AppleSupport my MacBook is not turning on.,Account Issue / Technical Support
T1148,@AppleSupport my iPhone is not turning on.,Account Issue / Technical Support
T1149,@AppleSupport my iPhone is not turning on.,Account Issue / Technical Support
